code;phase;start_at;location
49;ef;28.06.2014 16:00;Estadio Mineirao, Belo Horizonte	Brazil
50;ef;28.06.2014 20:00;Maracana, Rio de Janeiro
51;ef;29.06.2014 16:00;Estadio Castelao, Fortaleza
52;ef;29.06.2014 20:00;Arena Pernambuco, Recife
53;ef;30.06.2014 16:00;Estadio Nacional, Brasilia
54;ef;30.06.2014 20:00;Estadio Beira-Rio, Porto Alegre
55;ef;01.07.2014 16:00;Arena Corinthians, Sao Paulo
56;ef;01.07.2014 20:00;Arena Fonte Nova, Salvador
57;qf;04.07.2014 20:00;Estadio Castelao, Fortaleza
58;qf;04.07.2014 16:00;Maracana, Rio de Janeiro
59;qf;05.07.2014 20:00;Arena Fonte Nova, Salvador
60;qf;05.07.2014 16:00;Estadio Nacional, Brasilia
61;sf;08.07.2014 20:00;Estadio Mineirao, Belo Horizonte
62;sf;09.07.2014 20:00;Arena Corinthians, Sao Paulo
63;l;12.07.2014 20:00;Estadio Nacional, Brasilia
64;f;13.07.2014 19:00;Maracana, Rio de Janeiro
