group;team;position;matches_played;matches_won;matches_drawn;matches_lost;goals_for;goals_against;points
A;France;1;0;0;0;0;0;0;0
A;Switzerland;2;0;0;0;0;0;0;0
A;Romania;3;0;0;0;0;0;0;0
A;Albania;4;0;0;0;0;0;0;0
B;England;1;0;0;0;0;0;0;0
B;Russia;2;0;0;0;0;0;0;0
B;Slovakia;3;0;0;0;0;0;0;0
B;Wales;4;0;0;0;0;0;0;0
C;Germany;1;0;0;0;0;0;0;0
C;Ukraine;2;0;0;0;0;0;0;0
C;Poland;3;0;0;0;0;0;0;0
C;Northern Ireland;4;0;0;0;0;0;0;0
D;Spain;1;0;0;0;0;0;0;0
D;Croatia;2;0;0;0;0;0;0;0
D;Czech Republic;3;0;0;0;0;0;0;0
D;Turkey;4;0;0;0;0;0;0;0
E;Belgium;1;0;0;0;0;0;0;0
E;Italy;2;0;0;0;0;0;0;0
E;Sweden;3;0;0;0;0;0;0;0
E;Republic of Ireland;4;0;0;0;0;0;0;0
F;Portugal;1;0;0;0;0;0;0;0
F;Austria;2;0;0;0;0;0;0;0
F;Hungary;3;0;0;0;0;0;0;0
F;Iceland;4;0;0;0;0;0;0;0
